Date,High,Low,Open,Close,Volume,Adj Close
2021-01-07,131.6300048828125,127.86000061035156,128.36000061035156,130.9199981689453,109578200.0,130.7246551513672
2021-01-08,132.6300048828125,130.22999572753906,132.42999267578125,132.0500030517578,105158200.0,131.85296630859375
2021-01-11,130.1699981689453,128.5,129.19000244140625,128.97999572753906,100620900.0,128.7875518798828
2021-01-12,129.69000244140625,126.86000061035156,128.5,128.8000030517578,91951100.0,128.60781860351562
2021-01-13,131.4499969482422,128.49000549316406,128.75999450683594,130.88999938964844,88636800.0,130.6947021484375
2021-01-14,131.0,128.75999450683594,130.8000030517578,128.91000366210938,90221800.0,128.71766662597656
2021-01-15,130.22000122070312,127.0,128.77999877929688,127.13999938964844,111598500.0,126.9502944946289
2021-01-19,128.7100067138672,126.94000244140625,127.77999877929688,127.83000183105469,90757300.0,127.63926696777344
2021-01-20,132.49000549316406,128.5500030517578,128.66000366210938,132.02999877929688,104319500.0,131.83299255371094
2021-01-21,139.6699981689453,133.58999633789062,133.8000030517578,136.8699951171875,120529500.0,136.665771484375
2021-01-22,139.85000610351562,135.02000427246094,136.27999877929688,139.07000732421875,114459400.0,138.8625030517578
2021-01-25,145.08999633789062,136.5399932861328,143.07000732421875,142.9199981689453,157611700.0,142.70675659179688
2021-01-26,144.3000030517578,141.3699951171875,143.60000610351562,143.16000366210938,98390600.0,142.94639587402344
2021-01-27,144.3000030517578,140.41000366210938,143.42999267578125,142.05999755859375,140843800.0,141.84803771972656
2021-01-28,141.99000549316406,136.6999969482422,139.52000427246094,137.08999633789062,142621100.0,136.8854522705078
2021-01-29,136.74000549316406,130.2100067138672,135.8300018310547,131.9600067138672,177180600.0,131.7631072998047
2021-02-01,135.3800048828125,130.92999267578125,133.75,134.13999938964844,106239800.0,133.93984985351562
2021-02-02,136.30999755859375,134.61000061035156,135.72999572753906,134.99000549316406,83305400.0,134.78858947753906
2021-02-03,135.77000427246094,133.61000061035156,135.75999450683594,133.94000244140625,89880900.0,133.7401580810547
2021-02-04,137.39999389648438,134.58999633789062,136.3000030517578,137.38999938964844,84183100.0,137.18499755859375
2021-02-05,137.4199981689453,135.86000061035156,137.35000610351562,136.75999450683594,75524000.0,136.75999450683594
2021-02-08,136.9600067138672,134.9199981689453,136.02999877929688,136.91000366210938,71297200.0,136.91000366210938
2021-02-09,137.8800048828125,135.85000610351562,136.6199951171875,136.00999450683594,76774200.0,136.00999450683594
2021-02-10,136.99000549316406,134.39999389648438,136.47999572753906,135.38999938964844,73046600.0,135.38999938964844
2021-02-11,136.38999938964844,133.77000427246094,135.89999389648438,135.1300048828125,64154400.0,135.1300048828125
2021-02-12,135.52999877929688,133.69000244140625,134.35000610351562,135.3699951171875,60029300.0,135.3699951171875
2021-02-16,136.00999450683594,132.7899932861328,135.49000549316406,133.19000244140625,80206200.0,133.19000244140625
2021-02-17,132.22000122070312,129.47000122070312,131.25,130.83999633789062,97918500.0,130.83999633789062
